COLONIA,Geo Point,ALCALDIA
DEL VALLE I,"19.3979204525,-99.1653619352",BENITO JUAREZ
VERTIZ NARVARTE,"19.3819977642,-99.153686751",BENITO JUAREZ
XOCO,"19.3618327938,-99.1667710767",BENITO JUAREZ
ACUEDUCTO DE GUADALUPE (RDCIAL),"19.5237538785,-99.1497814155",GUSTAVO A. MADERO
CASTILLO CHICO,"19.5406295875,-99.1358247041",GUSTAVO A. MADERO
COCOYOTES,"19.5483118629,-99.1307840813",GUSTAVO A. MADERO
BELISARIO DOMINGUEZ,"19.4624543284,-99.1109278827",GUSTAVO A. MADERO
COMPOSITORES MEXICANOS,"19.5666830899,-99.141880856",GUSTAVO A. MADERO
ESTRELLA,"19.4749871497,-99.1165373137",GUSTAVO A. MADERO
EJIDOS SAN JUAN DE ARAGON 2A SECCION (U HAB),"19.4657511177,-99.0777956851",GUSTAVO A. MADERO
FERROCARRILERA INSURGENTES,"19.4821024843,-99.0923727272",GUSTAVO A. MADERO
GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL),"19.4766910156,-99.1043493416",GUSTAVO A. MADERO
GERTRUDIS SANCHEZ 1A SECCION,"19.4692984566,-99.1040600471",GUSTAVO A. MADERO
JUAN GONZALEZ ROMERO,"19.5055725661,-99.0898230504",GUSTAVO A. MADERO
JUAN DE DIOS BATIZ (U HAB),"19.5037784814,-99.1298185084",GUSTAVO A. MADERO
LINDAVISTA VALLEJO (U HAB),"19.4958609398,-99.1493736236",GUSTAVO A. MADERO
PARQUE METROPOLITANO,"19.5684490672,-99.1311983345",GUSTAVO A. MADERO
LUIS DONALDO COLOSIO,"19.562004081,-99.1467356581",GUSTAVO A. MADERO
REVOLUCION IMSS (U HAB),"19.4854461721,-99.1333675574",GUSTAVO A. MADERO
SANTA ANA TLACOTENCO (PBLO),"19.1737211171,-98.9994806507",MILPA ALTA
SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) I,"19.4511673584,-99.0640834441",GUSTAVO A. MADERO
PROVIDENCIA I,"19.481739486,-99.0730740448",GUSTAVO A. MADERO
LOS VOLCANES,"19.2701318805,-99.1750269979",TLALPAN
NUEVO RENACIMIENTO DE AXALCO,"19.255316184,-99.1604603565",TLALPAN
LA GUADALUPANA,"19.19509894,-99.1504190093",TLALPAN
PRADO COAPA 2A SECCION,"19.2990880976,-99.1330147455",TLALPAN
SANTA ROSA,"19.5234517826,-99.168978527",GUSTAVO A. MADERO
SAN JOSE TICOMAN,"19.5049471571,-99.1321843956",GUSTAVO A. MADERO
VILLA HERMOSA,"19.5022215728,-99.0924048149",GUSTAVO A. MADERO
TRES ESTRELLAS,"19.4721542081,-99.1111110495",GUSTAVO A. MADERO
ATOCPA SUR,"19.2562755965,-99.1932264094",TLALPAN
CANTERA PUENTE DE PIEDRA,"19.299231169,-99.1642280597",TLALPAN
DIAMANTE,"19.27086941,-99.1935993068",TLALPAN
FOVISSSTE SAN PEDRO MARTIR ( U HAB),"19.2745295892,-99.1606871549",TLALPAN
SAN NICOLAS II,"19.2672139973,-99.2379806131",TLALPAN
SOLIDARIDAD,"19.2643423927,-99.2291072275",TLALPAN
GUADALUPE,"19.2137218593,-99.1180871448",XOCHIMILCO
BARRIO 18,"19.2844417862,-99.1115386352",XOCHIMILCO
HUICHAPAN,"19.2633693583,-99.1162287435",XOCHIMILCO
SANTIAGO TEPALCATLALPAN (PBLO),"19.2445647226,-99.1283393001",XOCHIMILCO
SANTA MARIA TEPEPAN (PBLO),"19.2727118856,-99.1371811061",XOCHIMILCO
SANTA CRUCITA (BARR),"19.2626419872,-99.1022480363",XOCHIMILCO
NUEVA TENOCHTITLAN,"19.2550797259,-99.0732345518",XOCHIMILCO
SAN ANDRES MIXQUIC (PBLO),"19.2223716426,-98.9595605977",TLAHUAC
SELENE (AMPL),"19.2869573194,-98.9945845994",TLAHUAC
LA TURBA,"19.2952793523,-99.0586082588",TLAHUAC
SANTIAGO ZAPOTITLAN (PBLO),"19.3063225919,-99.0307623408",TLAHUAC
ATOTOLCO,"19.2666333813,-99.0266364885",TLAHUAC
COLTONGO,"19.4825341796,-99.1528844589",AZCAPOTZALCO
SANTA LUCIA,"19.3577370816,-99.2532861419",ALVARO OBREGON
TIZAPAN_TIZAPAN SAN ANGEL,"19.3368074004,-99.2009090655",ALVARO OBREGON
SAN ANGEL,"19.3456616645,-99.1929199698",ALVARO OBREGON
PRESIDENTES 1RA (AMPL),"19.376698426,-99.2247675712",ALVARO OBREGON
TETLALPAN,"19.3546381167,-99.2573629789",ALVARO OBREGON
LOMAS DE CAPULA,"19.3796082277,-99.2158427092",ALVARO OBREGON
MOLINO DE SANTO DOMINGO,"19.3941395518,-99.2078739833",ALVARO OBREGON
LOMAS DE SAN ANGEL INN,"19.3444723833,-99.2056165808",ALVARO OBREGON
COLINAS DEL SUR,"19.3665712669,-99.2256966596",ALVARO OBREGON
CORPUS CURISTY AMPL XOCOMECATLA,"19.3633248954,-99.2437702081",ALVARO OBREGON
CHIMALISTAC,"19.3447046324,-99.1865293784",ALVARO OBREGON
CRISTO REY,"19.38872121,-99.2015008395",ALVARO OBREGON
LA MEXICANA (AMPL),"19.383705093,-99.2281500206",ALVARO OBREGON
CAMPO DE TIRO LOS GAMITOS,"19.3801219907,-99.2378136552",ALVARO OBREGON
SANTA FE KM 8.5,"19.3800937866,-99.2481403086",ALVARO OBREGON
ZENON DELGADO,"19.3888293041,-99.215924937",ALVARO OBREGON
ESPERANZA,"19.4204440063,-99.1282884556",CUAUHTEMOC
JOSE MARIA PINO SUAREZ,"19.3961304545,-99.1988209964",ALVARO OBREGON
JURISTAS,"19.3559029152,-99.2358106704",ALVARO OBREGON
LA CEBADA (AMPL),"19.380192048,-99.2334427087",ALVARO OBREGON
EL RUEDO,"19.3514125541,-99.239907135",ALVARO OBREGON
EL BOSQUE SECCION TORRES,"19.3932662249,-99.1956903827",ALVARO OBREGON
AGRICOLA ORIENTAL I,"19.4018202822,-99.077296377",IZTACALCO
RAMOS MILLAN BRAMADERO I,"19.3931540569,-99.0970145692",IZTACALCO
TLACOTAL RAMOS MILLAN,"19.3955069034,-99.1066778688",IZTACALCO
CAMPAMENTO 2 DE OCTUBRE II,"19.3847324113,-99.1196996384",IZTACALCO
CARLOS ZAPATA VELA,"19.3825331463,-99.0974987038",IZTACALCO
REYNOSA TAMAULIPAS,"19.4941511372,-99.187564161",AZCAPOTZALCO
SAN ALVARO,"19.4614788407,-99.1837633342",AZCAPOTZALCO
SAN ANDRES DE LAS SALINAS (PBLO),"19.4900799665,-99.153793855",AZCAPOTZALCO
ROSENDO SALAZAR (CONJ HAB),"19.4870193654,-99.2058873381",AZCAPOTZALCO
SANTA BARBARA (PBLO),"19.4998774489,-99.1788833818",AZCAPOTZALCO
SAN SEBASTIAN,"19.4805914,-99.1772035619",AZCAPOTZALCO
SINDICATO MEXICANO DE ELECTRICISTAS,"19.4743302618,-99.1785730345",AZCAPOTZALCO
HIPODROMO II,"19.40657933,-99.1729659571",CUAUHTEMOC
MORELOS I,"19.4499366664,-99.1302832655",CUAUHTEMOC
DOCTORES III,"19.4164724858,-99.1458095732",CUAUHTEMOC
CENTRO V,"19.4276340757,-99.1382052651",CUAUHTEMOC
JUAN ESCUTIA II,"19.3900376409,-99.0397955784",IZTAPALAPA
TEPALCATES II,"19.3931769281,-99.0566070353",IZTAPALAPA
ERMITA ZARAGOZA (U HAB) I,"19.3624476804,-98.9980229328",IZTAPALAPA
SIDERAL,"19.3736913408,-99.0655076619",IZTAPALAPA
TULA (BARR),"19.3371402423,-99.1122645504",IZTAPALAPA
VICENTE GUERRERO SUPER MANZANA 7 (U HAB),"19.3565232145,-99.0601350993",IZTAPALAPA
SAN ANTONIO CULHUACAN (BARR),"19.3415368068,-99.1126056729",IZTAPALAPA
RICARDO FLORES MAGON (AMPL),"19.3539425834,-99.1006593753",IZTAPALAPA
SAN LORENZO XICOTENCATL (PBLO),"19.3836536789,-99.0271336857",IZTAPALAPA
PLENITUD (U HAB),"19.299237381,-99.0811269504",IZTAPALAPA
LOS ANGELES,"19.345354017,-99.0691282152",IZTAPALAPA
LOS CIPRESES,"19.3532500958,-99.108208238",IZTAPALAPA
EL TRIANGULO,"19.3183903341,-99.0512509595",IZTAPALAPA
LA NUEVA ROSITA,"19.3774316005,-99.1064394007",IZTAPALAPA
ESTRELLA DEL SUR,"19.3487669662,-99.0985510142",IZTAPALAPA
F P F V (PREDIO EL MOLINO) ( U HAB),"19.287250281,-99.070101557",IZTAPALAPA
ESTRELLA CULHUACAN,"19.3316105274,-99.1075847437",IZTAPALAPA
ALAMOS I,"19.4004298498,-99.1409292016",BENITO JUAREZ
NARVARTE IV,"19.3928398249,-99.1512317284",BENITO JUAREZ
SAN MATEO TLALTENANGO (PBLO),"19.3369214855,-99.2877386872",CUAJIMALPA DE MORELOS
BARRANCA SECA,"19.3062022638,-99.2395420412",LA MAGDALENA CONTRERAS
MEMETLA,"19.3604236591,-99.2858184057",CUAJIMALPA DE MORELOS
EL MOLINO,"19.3654592429,-99.2825691517",CUAJIMALPA DE MORELOS
EL MOLINITO,"19.3615645318,-99.2871923908",CUAJIMALPA DE MORELOS
EL TORO,"19.3119604371,-99.2462651676",LA MAGDALENA CONTRERAS
PIEDAD NARVARTE,"19.4027049534,-99.1562339153",BENITO JUAREZ
PORTALES ORIENTE,"19.365916354,-99.1402087162",BENITO JUAREZ
COLONIAL IZTAPALAPA (FRACC),"19.3470579789,-99.0553272867",IZTAPALAPA
EL SIFON,"19.3714995589,-99.1152847287",IZTAPALAPA
CULHUACAN (PBLO),"19.3383050715,-99.1076384675",IZTAPALAPA
EL MOLINO_,"19.3551229182,-99.0881142144",IZTAPALAPA
ART 4TO CONSTITUCIONAL (U HAB),"19.3678421944,-99.0341139569",IZTAPALAPA
BANJIDAL,"19.3627245382,-99.1371517358",IZTAPALAPA
BENITO JUAREZ,"19.3296058799,-99.0785966228",IZTAPALAPA
BOSQUES DE CHAPULTEPEC (POLANCO),"19.4295439094,-99.1875757744",MIGUEL HIDALGO
LOMAS DE BEZARES,"19.3924448773,-99.2428709219",MIGUEL HIDALGO
REFORMA SOCIAL,"19.4310691788,-99.217718464",MIGUEL HIDALGO
LOMAS DE SOTELO,"19.4492461991,-99.215268164",MIGUEL HIDALGO
SAN LORENZO TLALTENANGO,"19.466849589,-99.2099946654",MIGUEL HIDALGO
PALMITAS (POLANCO),"19.4309018729,-99.2048424103",MIGUEL HIDALGO
10 DE ABRIL,"19.4485510129,-99.2084859284",MIGUEL HIDALGO
PEON DE LOS BAOS,"19.4355893717,-99.0706198005",VENUSTIANO CARRANZA
KENNEDY (U HAB),"19.4197656963,-99.1114162463",VENUSTIANO CARRANZA
INDUSTRIAL PUERTO AEREO (FRACC),"19.4212452168,-99.0937348209",VENUSTIANO CARRANZA
CAMPESTRE CHURUBUSCO,"19.3454092595,-99.1358655439",COYOACAN
SAN MIGUEL CHAPULTEPEC II,"19.4119025025,-99.1837523189",MIGUEL HIDALGO
ANAHUAC II,"19.4412164017,-99.177507046",MIGUEL HIDALGO
ALTILLO (COND ALTILLO UNIVERSIDAD),"19.340792545,-99.1807109116",COYOACAN
CENTRO URBANO TLALPAN (U HAB),"19.3386992496,-99.1422079836",COYOACAN
DEL NIO JESUS (BARR),"19.3414112805,-99.1589499218",COYOACAN
PEDREGAL DE SAN FRANCISCO (FRACC),"19.3388204534,-99.1661922139",COYOACAN
SANTA URSULA COAPA (PBLO),"19.3096947128,-99.1443953788",COYOACAN
VILLA COYOACAN,"19.3473603624,-99.163099317",COYOACAN
LOS OLIVOS (U HAB),"19.3126148113,-99.1347514239",COYOACAN
LA VIRGEN 1170 (U HAB),"19.3235620501,-99.1041300516",COYOACAN
AVIACION CIVIL,"19.4151260367,-99.0796617119",VENUSTIANO CARRANZA
TAXQUEA,"19.3392324,-99.1232106865",COYOACAN
EX EJIDO SAN FRANCISCO CULHUACAN III,"19.3307417643,-99.1221305228",COYOACAN
JARDIN BALBUENA I,"19.4215844077,-99.1053538347",VENUSTIANO CARRANZA
